"ID","Player","Team","Position","RkOv","Status","Score","Ros","+/-","MIN","FGA","FG%","3PTM","3PTA","FTA","FT%","PTS","REB","AST","ST","BLK","TO"
"*05qsq*","Tyrese Maxey","PHI","PG,SG,G","1","JOH","100","94%","-6%","38.3","21.9",".461","3.3","8.9","6.1",".893","29.0","4.1","6.7","2.0","0.8","2.4"
"*04ewt*","Derrick White","BOS","PG,SG,G","2","PH","99.64","100%","0%","34.3","15.1",".396","2.8","8.7","2.8",".901","17.3","4.5","5.5","1.2","1.4","1.8"
"*04kj6*","Luka Doncic","LAL","PG,SG,G","3","MCL","98.92","100%","0%","35.8","22.7",".476","4.0","10.8","10.3",".770","33.4","7.9","8.4","1.6","0.6","4.0"
"*03e75*","Nikola Jokic","DEN","C","4","Ewings","96.08","100%","0%","34.8","17.4",".573","1.8","4.7","7.5",".831","28.0","12.6","10.6","1.5","0.9","3.9"
"*05uie*","Scottie Barnes","TOR","SF,PF,F,C","5","SaareKar","95.58","100%","0%","34.1","14.5",".501","0.9","3.0","3.8",".833","18.6","7.8","5.4","1.4","1.5","2.6"
"*06cch*","Victor Wembanyama","SA","C","6","€$¥","95.17","100%","0%","29.3","16.5",".504","2.0","5.5","7.0",".818","24.3","11.1","3.0","1.0","3.0","2.5"
"*05uib*","Cade Cunningham","DET","PG,SG,G","7","TOR","94.83","100%","0%","34.4","18.9",".461","2.0","5.8","6.2",".814","24.5","5.6","9.9","1.5","0.9","3.7"
"*05uir*","Trey Murphy","NO","SG,G,SF,PF,F","8","JOH","94.32","100%","0%","35.5","16.0",".472","3.3","8.6","3.8",".883","21.8","5.7","3.8","1.5","0.3","1.8"
"*04qro*","Shai Gilgeous-Alexander","OKC","PG,G","9","Ewings","94.3","100%","0%","33.5","19.8",".553","1.7","4.4","9.1",".888","31.6","4.4","6.6","1.4","0.8","2.1"
"*05qtt*","Onyeka Okongwu","ATL","PF,F,C","10","JOH","93.89","100%","0%","31.2","11.9",".481","2.0","5.3","2.6",".760","15.5","7.8","3.3","1.1","1.1","1.8"
"*05qug*","Anthony Edwards","MIN","SG,G,SF,F","11","KEILA","93.81","100%","0%","35.5","20.5",".492","3.4","8.6","7.4",".796","29.5","5.1","3.7","1.4","0.8","2.8"
"*04qrn*","Mikal Bridges","NY","SG,G,SF,PF,F","12","MCL","93.59","99%","0%","33.3","12.1",".486","1.9","5.2","1.2",".826","14.7","4.1","3.9","1.3","0.8","1.0"
"*027oz*","Kawhi Leonard","LAC","SF,PF,F","13","JOH","93.24","99%","0%","32.3","19.5",".505","2.7","6.9","6.7",".899","28.3","6.3","3.7","2.0","0.4","2.1"
"*001aw*","Kevin Durant","HOU","SG,G,SF,PF,F","14","TOR","93.21","100%","0%","36.4","17.6",".517","2.3","5.7","5.8",".885","25.7","5.4","4.4","0.9","0.9","3.2"
"*04ewf*","Bam Adebayo","MIA","PF,F,C","15","Pingud","92.33","100%","0%","32.2","15.8",".447","1.7","5.3","5.8",".771","20.4","9.9","2.9","1.2","0.7","1.7"
"*04ewe*","Donovan Mitchell","CLE","PG,SG,G","16","VICE","92.32","100%","0%","33.6","20.3",".477","3.3","9.2","6.2",".854","28.0","4.5","5.8","1.5","0.3","2.9"
"*05uiu*","Jalen Johnson","ATL","SF,PF,F","17","SaareKar","91.72","100%","0%","35.2","17.1",".493","1.6","4.6","5.4",".780","22.7","10.4","8.0","1.3","0.5","3.4"
"*051ox*","Nickeil Alexander-Walker","ATL","PG,SG,G,SF,F","18","JOH","91.57","86%","0%","33.1","15.3",".446","3.1","8.0","3.9",".899","20.3","3.4","3.6","1.3","0.5","2.1"
"*042n4*","Jamal Murray","DEN","PG,SG,G","19","VICE","91.2","100%","0%","35.0","18.1",".480","3.1","7.3","5.3",".879","25.1","4.4","7.1","0.9","0.3","2.3"
"*06mk3*","Matas Buzelis","CHI","SF,PF,F","20","MCL","90.11","99%","0%","29.0","12.3",".466","2.2","6.3","3.1",".779","16.1","5.6","2.0","0.7","1.5","2.0"
"*06212*","Jabari Smith","HOU","SF,PF,F,C","21","TOR","89.8","97%","0%","35.0","12.4",".454","2.2","6.1","2.7",".777","15.6","6.8","1.9","0.8","0.9","1.3"
"*05qt3*","Desmond Bane","ORL","SG,G,SF,F","22","Ewings","89.72","100%","0%","34.2","15.0",".487","2.1","5.3","4.0",".926","20.4","4.2","4.2","1.0","0.4","2.0"
"*0527h*","Naz Reid","MIN","PF,F,C","23","Ewings","89.6","98%","-1%","26.0","11.1",".467","2.2","5.8","1.6",".727","13.7","6.2","2.3","1.0","1.0","1.6"
"*01eo6*","James Harden","CLE","PG,SG,G","24","JOH","89.57","100%","0%","35.0","16.4",".434","3.1","8.3","7.7",".883","24.1","5.0","8.0","1.1","0.4","3.6"
"*06v5k*","VJ Edgecombe","PHI","SG,G","25","PH","89.15","95%","0%","35.0","13.7",".429","1.9","5.6","2.5",".826","15.7","5.7","4.0","1.4","0.6","1.8"
"*06227*","Ryan Rollins","MIL","PG,SG,G","26","KLU","89.11","85%","0%","32.2","13.6",".472","2.5","6.0","2.1",".773","16.9","4.6","5.6","1.5","0.4","2.6"
"*042n1*","Brandon Ingram","TOR","SG,G,SF,PF,F","27","KLU","88.59","99%","0%","34.0","17.0",".472","1.8","4.7","4.6",".818","21.6","5.6","3.7","0.8","0.7","2.5"
"*03ajv*","Julius Randle","MIN","PF,F","28","SaareKar","88.54","100%","0%","33.0","15.2",".481","1.4","4.4","6.2",".814","21.0","6.8","5.1","1.1","0.2","2.7"
"*05qu9*","Immanuel Quickley","TOR","PG,SG,G","29","JOH","88.44","99%","0%","32.4","13.2",".445","2.6","6.9","3.1",".821","16.9","4.1","6.0","1.3","0.1","1.5"
"*05uid*","Evan Mobley","CLE","PF,F,C","30","PH","88.41","100%","0%","32.4","13.5",".534","1.1","3.6","4.6",".602","18.3","8.9","3.6","0.8","1.9","1.9"
"*05qu0*","Jaden McDaniels","MIN","SF,PF,F","31","€$¥","88.41","97%","0%","31.8","10.8",".517","1.4","3.4","2.4",".842","14.6","4.3","2.8","1.1","1.0","1.8"
"*05uiq*","Alperen Sengun","HOU","PF,F,C","32","KLU","88.32","100%","0%","33.4","15.7",".510","0.5","1.8","5.4",".685","20.2","8.9","6.1","1.2","1.0","3.3"
