Season,Most Valuable Player,Rookie of the Year,$1 MVP,Undrafted MVP, 6th Man of the Year
2018,Anthony Davis,Ben Simmons,Will Barton,Kyle Anderson,Will Barton
2017,James Harden,Joel Embiid,Otto Porter Jr,Jrue Holiday,James Johnson
2016,Stephen Curry,Karl-Anthony Towns,Kristaps Porzingis,Marvin Williams,Gorgui Dieng
2015,Stephen Curry,Nerlens Noel,Khris Middleton,Draymond Green,Rudy Gobert
2014,Kevin Durant,Victor Oladipo,Shawn Marion,Spencer Hawes,Reggie Jackson
2013,Kevin Durant,Damian Lillard,Nikola Vucevic,Larry Sanders,Amir Johnson
2012,Kevin Durant,Kyrie Irving,Jason Kidd,Paul George,James Harden
2011,LeBron James,Landry Fields,Dorell Wright,Kyle Lowry,Lamar Odom
2010,Kevin Durant,Stephen Curry,,,Manu Ginobili
2009,Chris Paul,Brook Lopez,,,Jason Terry
2008,Chris Paul,Jamario Moon,,,Manu Ginobili
2007,Shawn Marion,Rajon Rondo,,,Leandro Barbosa
