season_id,player_id,player_name,team_id,team_abbreviation,team_name,game_id,game_date,matchup,wl,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,fantasy_pts,video_available,fg,ft
52020,1630216,Cassius Winston,1610612764,WAS,Washington Wizards,0052000201,2021-05-20,WAS vs. IND,W,5,0,4,0,1,0,0,0,1,1,2,0,0,0,1,0,4.2,1,0,NA
52020,1629048,Goga Bitadze,1610612754,IND,Indiana Pacers,0052000201,2021-05-20,IND @ WAS,L,17,0,3,0,2,0,0,1,1,2,3,0,1,1,0,0,8.9,1,0,NA
52020,1629234,Drew Eubanks,1610612759,SAS,San Antonio Spurs,0052000131,2021-05-19,SAS @ MEM,L,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA
52020,1628960,Grayson Allen,1610612763,MEM,Memphis Grizzlies,0052000131,2021-05-19,MEM vs. SAS,W,5,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,-1,1,0,NA
52020,1630214,Xavier Tillman,1610612763,MEM,Memphis Grizzlies,0052000131,2021-05-19,MEM vs. SAS,W,10,0,1,0,0,0,2,0,1,1,0,0,1,0,1,0,4.2,1,0,0
52020,1630216,Cassius Winston,1610612764,WAS,Washington Wizards,0052000101,2021-05-18,WAS @ BOS,L,2,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,2.7,1,0,NA
52020,203960,JaKarr Sampson,1610612754,IND,Indiana Pacers,0052000111,2021-05-18,IND vs. CHA,W,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,NA
52020,202687,Bismack Biyombo,1610612766,CHA,Charlotte Hornets,0052000111,2021-05-18,CHA @ IND,L,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA
52020,1630176,Vernon Carey,1610612766,CHA,Charlotte Hornets,0052000111,2021-05-18,CHA @ IND,L,6,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,2.2,1,NA,NA
52020,1629684,Grant Williams,1610612738,BOS,Boston Celtics,0052000101,2021-05-18,BOS vs. WAS,W,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1.2,1,NA,NA
52020,203526,Raul Neto,1610612764,WAS,Washington Wizards,0052000101,2021-05-18,WAS @ BOS,L,17,0,2,0,1,0,0,0,1,1,1,0,0,2,2,0,0.7,1,0,NA
